Latitude,Longitude,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
21.536823,72.9751,7.9,2502,0,537,447,229,29,0.06506720039,260,40,39,495,0.75,1.6,1676,0
21.577471,73.075975,7.8,847,0,305,71,58,20,0.06506720039,200,48,19,97,6.3,0.99,567,0
22.070297,71.891905,8.2,1798,0,940,106,52,2.9,0.06506720039,100,16,15,408,4.6,3.9,1205,0
21.822818,71.753465,7.2,388,0,183,28,21,0.61,0.06506720039,120,32,10,40,1.7,0.45,260,0
21.191504,71.549098,8.2,1273,0,476,170,81,28,0.06506720039,510,92,68,110,9.2,0.29,853,0
21.140915,71.651062,8.2,1873,0,415,362,99,71,0.06506720039,370,44,63.232,287,6.7,0.5,1255,0
21.099956,71.747011,8.2,4600,0,830,1014,190,68,0.06506720039,210,24,36.48,1007,1.9,0.87,3082,0
21.16294,71.872592,8.6,1566,72,647,78,54,55,0.06506720039,70,16,7.296,364,1.7,2,1049,0
21.213852,71.950052,8.1,1228,0,366,213,51,7.3,0.06506720039,130,28,14.592,238,6.7,1.3,823,0
21.213247,71.886063,8.1,668,0,293,64,31,4.5,0.06506720039,150,36,14.592,85,27,0.57,448,0
21.293417,71.966945,7.8,805,0,342,64,46,31,0.06506720039,330,60,43.776,50,5.9,0.3,539,0
21.394341,71.963773,7.9,1203,0,244,241,83,32,0.06506720039,400,80,48.64,105,0.9,0.34,806,0
21.365747,72.020761,8.1,1240,0,415,142,61,94,0.06506720039,490,92,63,89,0.56,0.51,831,0
21.424365,72.099832,7,1518,0,317,163,160,185,0.06506720039,671,176,56,57,0.47,0.31,1017,0
21.529157,72.148943,7.4,1010,0,342,78,110,70,0.06506720039,400,52,66,65,0.99,0.36,677,0
21.684484,72.234347,8.1,4605,0,696,858,637,7.7,0.06506720039,560,80,88,820,17,0.63,3085,0
21.773634,72.145504,7.8,1268,0,403,184,74,38,0.06506720039,250,60,24,208,0.77,0.38,850,0
21.518444,71.832326,7.2,950,0,366,113,51,10,0.06506720039,370,92,34,57,6.22,0.26,637,0
21.428723,71.914439,7.8,895,0,378,78,49,27,0.06506720039,330,76,34,65,3.1,0.42,600,0
21.447377,71.853459,7.8,1055,0,305,142,52,100,0.06506720039,410,72,56,80,0.48,0.32,707,0
22.019153,71.702401,8.1,598,0,256,57,32,8.4,0.06506720039,90,16,12,105,0.67,0.45,401,0
21.802794,71.512114,8.2,861,0,305,92,48,39,0.06506720039,270,68,24,94,0.32,0.33,577,0
21.54434,71.563631,8.2,1523,0,207,319,142,94,0.06506720039,430,60,68,190,0.46,0.45,1020,0
21.544559,71.724855,8.1,1156,0,366,170,73,26,0.06506720039,300,40,49,157,0.2,0.55,775,0
21.624198,71.710835,8.2,2267,0,512,432,108,23,0.06506720039,280,40,44,390,0.16,1.28,1519,0
21.964343,71.578697,8.1,814,0,366,78,32,10,0.06506720039,290,80,22,69,7.97,0.31,545,0
22.065693,71.629663,8.1,5062,0,317,1283,288,365,0.06506720039,2022,289,316,322,1.52,0.48,3392,0
22.227122,71.607596,8.2,1812,0,244,319,99,234,0.06506720039,661,116,90,114,1.04,0.42,1214,0
22.21554,73.73995,8,6995,0,500,2028,488,20,0.06506720039,1591,148.296,297,1000,5.8,1.9,4687,0
22.26467,73.65013,8,865,0,293,113,18,47,0.06506720039,350,52.104,54,57,1.9,0.9,580,0
21.97604,73.96454,7.8,632,0,281,28,22,54,0.06506720039,270,68,24,36,1.5,0.67,423,0
22.04427,73.88792,7.7,541,0,268,28,14,22,0.06506720039,240,60,22,27,0.3,0.57,362,0
22.20112,73.89711,8.2,1750,0,976,92,26,3.9,0.06506720039,350,28,68,285,0.77,4,1173,0
22.16959,74.00017,7.9,1449,0,439,199,55,101,0.06506720039,410,64,61,178,2.6,4.05,971,0
22.36378,74.21427,7.6,642,0,244,71,23,37,0.06506720039,300,88,19.456,17,3.4,0.45,430,0
22.52246,73.93426,7.5,518,0,220,43,21,9.3,0.06506720039,190,60,9.728,39,0.22,0.93,347,0
22.3406,73.83452,8,2007,0,525,376,132,12,0.06506720039,480,128,38.912,258,10,0.95,1345,0
22.893669,74.04171,8.1,2323,0,219,483,185,65,0.06506720039,800,208,68,160,10,1.7,1556,0
22.699751,73.916801,8.2,918,0,220,142,67,16,0.06506720039,210,40,27,119,3.3,0.96,615,0
22.604332,73.89665,7.9,699,0,317,28,20,24,0.06506720039,210,60,15,57,1.5,1,468,0
22.596748,74.0284,8,981,0,378,107,37,4,0.06506720039,250,84,10,112,2.57,1,657,0
22.579945,74.10946,8.1,753,0,378,43,2,9.4,0.06506720039,210,68,10,77,3,0.97,505,0
22.636005,74.098763,8,1700,0,512,227,98,30,0.06506720039,600,184,34,117,11.6,1.3,1139,0
22.684877,74.31502,7.9,8180,0,463,1740,396,822,0.06506720039,1900,120,389,1079,28.5,6.8,5481,0
22.728977,74.30539,8.2,907,0,390,64,24,24,0.06506720039,350,16,75,48,3.69,1.76,608,0
22.775204,74.28864,8.1,580,0,220,50,11,30,0.06506720039,240,28,41,24,1.54,1,389,0
22.939819,74.201469,8.1,863,0,256,85,50,32,0.06506720039,360,56,54,26,0.85,0.88,578,0
22.831169,74.232765,8,1771,0,342,291,43,76,0.06506720039,440,28,90,160,2.27,2.3,1187,0
22.840366,74.083466,8.2,712,0,232,64,38,30,0.06506720039,260,36,41,43,4.36,1.26,477,0
20.406944,72.862778,8.1,676,0,293,71,22,2,0.06506720039,230,36,34,65,0.5,0.77,453,0
20.436389,72.847222,8.1,688,0,293,64,34,15,0.06506720039,270,48,36,50,3.8,0.31,461,0
20.923056,73.581389,8.1,695,0,305,50,69,3,0.06506720039,290,64,32,45,0.55,0.52,466,0
20.860833,73.620278,8.3,714,0,366,36,27,11,0.06506720039,290,40,46,48,0.22,0.94,478,0
20.974722,73.629722,8.2,2590,0,598,483,170,15,0.06506720039,370,56,56,459,2.07,0.86,1735,0
20.915,73.668611,8.2,1028,0,390,107,65,2,0.06506720039,250,36,39,125,2.37,1.14,689,0
20.926389,73.773889,8.1,1045,0,549,64,43,3,0.06506720039,380,72,49,85,2.64,0.51,700,0
20.799722,73.731667,7.7,925,0,268,149,30,1,0.06506720039,290,76,24,67,7.1,0,620,0
20.759444,73.685278,8.1,1130,0,451,128,60,18,0.06506720039,350,40,61,101,20,0,757,0
20.681389,73.722222,8.3,1028,48,427,57,33,16,0.06506720039,360,40,63,97,0.64,0.35,689,0
20.627778,73.741667,8.1,940,0,403,107,45,12,0.06506720039,450,112,41,31,0.85,0.31,630,0
20.593611,73.744444,8.3,746,0,159,135,35,2,0.06506720039,210,48,22,70,0.64,0.23,500,0
20.639167,73.691111,7.1,1080,0,317,121,84,100,0.06506720039,400,68,56,85,1.15,0.5,724,0
20.659574,73.676754,8.1,542,0,232,43,31,19,0.06506720039,240,64,19,28,0.45,0.22,363,0
20.683611,73.620833,8,685,0,317,43,33,9,0.06506720039,290,60,34,38,1.92,0.39,459,0
20.690556,73.603056,8,706,0,244,92,43,24,0.06506720039,310,64,36,36,0.25,0.27,473,0
20.723056,73.527778,8.2,929,0,329,142,43,1,0.06506720039,310,48,46,93,1.36,0.85,622,0
20.805,73.550278,7.8,1063,0,476,92,30,32,0.06506720039,390,72,51,87,8.33,0.57,712,0
20.802778,73.613056,8.3,1084,0,305,135,60,60,0.06506720039,370,40,66,97,0.34,0.8,726,0
20.72414,70.930508,7.9,10250,0,281,3545,118,1.1,0.06506720039,2892,569.136,357.504,1082,52,0.31,6868,0
20.709932,70.875256,8.2,3468,0,610,709,189,104,0.06506720039,651,68,116.736,508,39,0.64,2324,0
23.1792,72.8417,7.4,2460,0,598,362,109,107,0.06506720039,701,88,117,250,3.5,1.4,1648,0
21.9163889,69.85805556,7.4,1920,0,464,298,84,86,0.06506720039,515,80,77,204,2.16,1.3,1286,0
22.8291667,70.5625,6.6,478,0,134,78,13,3,0.06506720039,150,24,22,41,4.79,0.62,320,0
21.9041667,69.95833333,7.3,1425,0,342,191,75,114,0.06506720039,560,136,54,68,0.36,0.25,955,0
22.4375,69.9,7.7,1560,0,403,301,14,5,0.06506720039,690,180,58,37,1.92,0.97,1045,0
22.68333333,70.31666667,7.7,8000,0,488,2057,572,72,0.06506720039,1200,32,272,1290,2.32,0.6,5360,0
